,nombre,domicilio,alcaldia,latitud,longitud,Colonia name,nivel escolar
134,Primaria General - Caltlamachtilli,"Nitla No 24, Tlazintla, Delegacion Iztacalco, Mexico Df.",Iztacalco,19.39669600004,-99.11159600004,Tlazintla,Primaria
135,Primaria General - Susana Irma Herrera Mascorro,"Rodolfo Mendez No 3, Ampl Gabriel Hernandez, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.50588799994,-99.09999800007,Gabriel Hernandez (Ampl) Ii,Primaria
136,Primaria General - Gabino Barreda,"Alhondiga Y Soledad, Centro, Delegacion Cuauhtemoc, Mexico Df.",Cuauhtémoc,19.43094000012754,-99.1272910000778,Centro Vii,Primaria
137,Preescolar General - Miguel E. Schultz,"Jose T. Cuellar No 176, Vista Alegre, Delegacion Cuauhtemoc, Mexico Df.",Cuauhtémoc,19.4168239996579,-99.1411779996381,Obrera I,Preescolar
138,Primaria General - Republica De Jamaica,"Jacarandas S/N, Colonia El Pirul, Delegacion Alvaro Obregon, Mexico Df.",Álvaro Obregón,19.37936900017684,-99.24056999999095,El Pirul,Primaria
139,Preescolar General - Elena Zapata,"Cedro No 205, Santa Maria La Ribera, Delegacion Cuauhtemoc, Mexico Df.",Cuauhtémoc,19.45024900015921,-99.16190999998427,Santa Maria La Ribera Ii,Preescolar
140,Preescolar General - Centenario De La Heroica Escuela Naval Militar,"Canal Nacional S/N Unidad Militar Naval, Granjas Coapa, Delegacion Tlahuac, Mexico Df.",Tlalpan,19.298663327264,-99.10106723281,Hueso Periferico-Isssfam No. 7 (U Habs),Preescolar
141,Preescolar General - Kallinpiltontli,"V.C. Y A. Bonfil Mza 110 B Lte 813 B, Ampliacion Miguel Hidalgo, Delegacion Tlahuac, Mexico Df.",Tlalpan,19.27828100003,-99.20196899986,Ampliacion Miguel Hidalgo 2a Secc,Preescolar
142,Preescolar General - Año Internacional Del Niño,"Hda San Nicolas Tolentino S/N, Prado Coapa, Delegacion Tlalpan, Mexico Df.",Tlalpan,19.293344999997,-99.13559599999,Prado Coapa 3a Seccion-Potrero Acoxpa,Preescolar
143,Primaria General - Ricardo Gomez,"Av Mexico No 19, Colonia Tizapan, Delegacion Alvaro Obregon, Mexico Df",Álvaro Obregón,19.33788799994402,-99.19303899983056,La Otra Banda,Primaria
144,Secundaria General - Secundaria Federal,"Emiliano Zapata Y G Guerra, Cuautepec De Madero, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.53755846582,-99.14180953366,Zona Escolar Oriente,Secundaria
145,Primaria General - Melchor Ocampo,"Av Lazaro Cardenas S/N, Cuautepec Barrio Bajo, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.52098899991,-99.1329530001,La Candelaria Ticoman (Barr),Primaria
146,Secundaria General - Ponciano Arriaga,"Av Michoacan S/N, Chalma De Guadalupe, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.55286099994,-99.15005399997,Chalma De Guadalupe I,Secundaria
147,Primaria General - Andres Iduarte,"Av Acueducto No 1042, Ticoman, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.51661800009,-99.12653200014,La Laguna Ticoman (Barr),Primaria
148,Escuela Secundaria Tecnica 82,"Felipe Angeles Y Jeronimo De Las Casas, Arboledas De Cuautepec El Alto, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.55349999995,-99.13252200002,Palmatitla,Secundaria
149,Primaria General - Carlos Marx,"Camino Real De San Martin S/N, Pueblo Santa Barbara, Delegacion Azcapotzalco, Mexico Df.",Azcapotzalco,19.49852699991352,-99.19247899989288,San Martin Xochinahuac (Pblo),Primaria
150,Primaria General - Narciso Bassols,"Matematicas S/N,  Unidad Infonavit El Rosario, Delegacion Azcapotzalco, Mexico Df.",Azcapotzalco,19.51204899999884,-99.2082779999399,El Rosario A (U Hab),Primaria
151,Preescolar General - Angel Maria Garibay Kintana,"Eje 5 Norte Y Av. De Las Culturas, San Martin Xochinahuac, Delegacion Azcapotzalco, Mexico Df.",Azcapotzalco,19.50867588516427,-99.20799633383382,El Rosario A (U Hab),Preescolar
