_id,expediente,pueblo,scall_col,territorial,fecha_instalacion,capacidad,alcaldia,colonia_datos,latitud,longitud
11857,1330-GULULU-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,SELENE,NO APLICA,2022-10-05T00:00:00,1100,TLAHUAC,SELENE 1a SECC,19.295442,-99.00312
11858,1099-RAPEMA-GUO-22,NO APLICA,LA PRADERA,NO APLICA,2022-11-25T00:00:00,1100,GUSTAVO A. MADERO,LA PRADERA,19.472891,-99.06557
11859,1100-MOROMI-GUO-22,NO APLICA,SAN FELIPE DE JESUS,NO APLICA,2022-10-21T00:00:00,1100,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,19.493497,-99.082765
11860,1102-HENALU-GUO-22,NO APLICA,SAN FELIPE DE JESUS,NO APLICA,2022-11-22T00:00:00,1100,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,19.491595,-99.075284
11861,1104-MAHEBR-GUO-22,NO APLICA,SAN FELIPE DE JESUS,NO APLICA,2022-11-18T00:00:00,1100,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,19.491585,-99.075294
11862,1106-GOGALE-GUO-22,NO APLICA,SAN FELIPE DE JESUS,NO APLICA,2022-10-24T00:00:00,1100,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,19.491653,-99.075229
11863,1388-LUDILE-IZA-22,NO APLICA,CAMPESTRE POTRERO,SANTA CATARINA,2022-11-18T00:00:00,1100,IZTAPALAPA,CAMPESTRE POTRERO,19.330498,-98.977719
11864,1331-QUCHAR-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,EL TRIANGULO,NO APLICA,2022-10-08T00:00:00,2500,TLAHUAC,EL TRIANGULO,19.285553,-99.013502
11865,8668-MOSEBE-MIA-22,SAN PEDRO ATOCPAN,BARRIO TULA,NO APLICA,2022-10-18T00:00:00,2500,MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),19.203356,-99.054661
11866,1111-GOGOCL-GUO-22,NO APLICA,JUAN GONZALEZ ROMERO,NO APLICA,2022-10-17T00:00:00,2500,GUSTAVO A. MADERO,JUAN GONZALEZ ROMERO,19.507223,-99.090935
11867,1112-CASAMA-GUO-22,NO APLICA,JUAN GONZALEZ ROMERO,NO APLICA,2022-10-15T00:00:00,1100,GUSTAVO A. MADERO,JUAN GONZALEZ ROMERO,19.503932,-99.09052
11868,1332-VIHELU-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,SELENE,NO APLICA,2022-10-18T00:00:00,2500,TLAHUAC,SELENE 2da SECC,19.281786,-99.001358
11869,8669-CRFEAR-MIA-22,SAN PEDRO ATOCPAN,BARRIO OCOTITLA,NO APLICA,2022-09-29T00:00:00,2500,MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),19.199189,-99.051227
11870,1114-LOGOLE-GUO-22,NO APLICA,JUAN GONZALEZ ROMERO,NO APLICA,2022-10-17T00:00:00,2500,GUSTAVO A. MADERO,JUAN GONZALEZ ROMERO,19.507237,-99.090809
11871,8670-FEOLJE-MIA-22,PUEBLO SAN AGUSTIN OHTENCO,NO APLICA,NO APLICA,2022-10-20T00:00:00,2500,MILPA ALTA,SAN AGUSTIN OHTENCO (PBLO),19.197379,-99.01045
11872,1116-GAGUEM-GUO-22,NO APLICA,25 DE JULIO,NO APLICA,2022-11-30T00:00:00,1100,GUSTAVO A. MADERO,25 DE JULIO,19.493875,-99.081534
11873,8671-JULAAL-MIA-22,VILLA MILPA ALTA,BARRIO LA LUZ,NO APLICA,2022-10-24T00:00:00,1100,MILPA ALTA,VILLA MILPA ALTA (PBLO),19.188802,-99.027695
11874,1117-GARAMA-GUO-22,NO APLICA,25 DE JULIO,NO APLICA,2022-10-15T00:00:00,1100,GUSTAVO A. MADERO,25 DE JULIO,19.493827,-99.08141
11875,1336-MALOJO-TLC-22,NO APLICA,LOS OLIVOS,NO APLICA,2022-10-08T00:00:00,2500,TLAHUAC,LOS OLIVOS,19.301488,-99.059989
11876,1391-MAPAMA-IZA-22,NO APLICA,CAMPESTRE POTRERO,SANTA CATARINA,2022-11-26T00:00:00,2500,IZTAPALAPA,CAMPESTRE POTRERO,19.329423,-98.977786
11877,1118-GOJIMA-GUO-22,NO APLICA,25 DE JULIO,NO APLICA,2022-11-11T00:00:00,2500,GUSTAVO A. MADERO,25 DE JULIO,19.49371,-99.081215
