"long","lat","Expediente","Pueblo","Colonia_Ba","Territoria","Alcaldia","Fecha_de_I","Instalado"
-98.969882,19.329582,"2614-BAMICL-IZA-20","NO APLICA","CAMPESTRE POTRERO","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-10-10,"Programa SCALL"
-99.073809,19.29141,"2619-ARPIIG-IZA-20","NO APLICA","CELOALLIOTLI (U HAB)","SAN LORENZO TEZONCO","IZTAPALAPA",2020-11-09,"Programa SCALL"
-99.074422,19.291423,"2617-MIBECL-IZA-20","NO APLICA","CELOALLIOTLI (U HAB)","SAN LORENZO TEZONCO","IZTAPALAPA",2020-11-05,"Programa SCALL"
-99.07041,19.2902,"2616-MAMAMA-IZA-20","NO APLICA","CELOALLIOTLI (U HAB)","SAN LORENZO TEZONCO","IZTAPALAPA",2020-11-06,"Programa SCALL"
-98.997191,19.365864,"2621-GAVEAR-IZA-20","NO APLICA","ERMITA ZARAGOZA","ACATITLA DE ZARAGOZA","IZTAPALAPA",2020-11-21,"Programa SCALL"
-99.032574,19.349295,"2623-ROGANO-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-10-31,"Programa SCALL"
-99.046839,19.335475,"2624-RILOJO-IZA-20","NO APLICA","LAS PENAS","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-10-30,"Programa SCALL"
-99.070703,19.34536,"2627-FLTLLU-IZA-20","NO APLICA","LOS ANGELES","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-11-04,"Programa SCALL"
-99.073601,19.347679,"2630-TOCAMI-IZA-20","NO APLICA","LOS ANGELES","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-11-07,"Programa SCALL"
-99.038004,19.367803,"2635-VEAGMA-IZA-20","NO APLICA","EJERCITO DE AGUA PRIETA","AZTAHUACAN","IZTAPALAPA",2020-11-04,"Programa SCALL"
-99.066425,19.30365,"2637-CALUVE-IZA-20","NO APLICA","EL ROSARIO","SAN LORENZO TEZONCO","IZTAPALAPA",2020-11-03,"Programa SCALL"
-99.033761,19.386704,"2638-LOGONO-IZA-20","NO APLICA","JUAN ESCUTIA","CABEZA DE JUAREZ","IZTAPALAPA",2020-10-30,"Programa SCALL"
-99.022747,19.383174,"2640-ROSOMA-IZA-20","NO APLICA","SANTA MARTHA ACATITLA NORTE I","ACATITLA DE ZARAGOZA","IZTAPALAPA",2020-11-03,"Programa SCALL"
-99.030142,19.386761,"2642-CRMAFE-IZA-20","NO APLICA","JUAN ESCUTIA","CABEZA DE JUAREZ","IZTAPALAPA",2020-11-04,"Programa SCALL"
