alcaldia,latitud,longitud,alcaldia_id,año
Milpa Alta,19.176913,-99.000926,9,2022
Milpa Alta,19.17803,-99.001673,9,2022
Tlalpan,19.232768,-99.171538,12,2022
Tlalpan,19.131663,-99.181648,12,2022
Tlalpan,19.214363,-99.210062,12,2022
Tlalpan,19.217735,-99.21001,12,2022
Tlalpan,19.233614,-99.163796,12,2022
Tlalpan,19.234035,-99.162059,12,2022
Tlalpan,19.223495,-99.200893,12,2022
Milpa Alta,19.19712,-99.051234,9,2022
Milpa Alta,19.198203,-99.050699,9,2022
Tlalpan,19.258442,-99.186696,12,2022
Milpa Alta,19.198085,-99.050405,9,2022
Milpa Alta,19.178214,-99.035232,9,2022
Milpa Alta,19.199961,-99.051952,9,2022
Milpa Alta,19.177596,-98.999961,9,2022
Milpa Alta,19.177841,-98.999824,9,2022
Milpa Alta,19.178192,-99.001323,9,2022
Milpa Alta,19.178843,-99.001503,9,2022
Milpa Alta,19.178283,-99.002063,9,2022
Tlalpan,19.246683,-99.143706,12,2022
Milpa Alta,19.177125,-99.002108,9,2022
Milpa Alta,19.190773,-99.006994,9,2022
Tlalpan,19.247014,-99.141461,12,2022
Milpa Alta,19.177847,-98.995064,9,2022
Milpa Alta,19.204532,-99.068723,9,2022
Tlalpan,19.240339,-99.145797,12,2022
Milpa Alta,19.176582,-98.993923,9,2022
Milpa Alta,19.197502,-99.049709,9,2022
Milpa Alta,19.218628,-98.992835,9,2022
Milpa Alta,19.197497,-99.088997,9,2022
Milpa Alta,19.177813,-99.00193,9,2022
Tlalpan,19.247361,-99.143339,12,2022
Milpa Alta,19.177963,-99.00213,9,2022
Tlalpan,19.24662,-99.143713,12,2022
Milpa Alta,19.208056,-99.071212,9,2022
Milpa Alta,19.200843,-99.055203,9,2022
Milpa Alta,19.176736,-99.001229,9,2022
Tlalpan,19.235991,-99.147882,12,2022
Milpa Alta,19.201769,-99.069947,9,2022
Milpa Alta,19.177309,-99.032234,9,2022
Tlalpan,19.240619,-99.146169,12,2022
Tlalpan,19.240619,-99.146168,12,2022
Milpa Alta,19.187412,-99.089969,9,2022
Milpa Alta,19.191519,-99.050265,9,2022
Milpa Alta,19.191519,-99.050265,9,2022
Tlalpan,19.214714,-99.198941,12,2022
Tlalpan,19.228446,-99.20144,12,2022
Milpa Alta,19.191519,-99.050265,9,2022
Milpa Alta,19.204748,-99.001587,9,2022
Milpa Alta,19.174869,-98.999851,9,2022
Tlalpan,19.247239,-99.141287,12,2022
Milpa Alta,19.18904,-99.072899,9,2022
Tlalpan,19.217843,-99.210107,12,2022
Tlalpan,19.217283,-99.211552,12,2022
Milpa Alta,19.186905,-99.028316,9,2022
Milpa Alta,19.178468,-99.004324,9,2022
Tlalpan,19.242376,-99.145376,12,2022
Milpa Alta,19.184763,-99.069455,9,2022
Milpa Alta,19.174835,-98.995743,9,2022
Tlalpan,19.245974,-99.143427,12,2022
Gustavo A. Madero,19.498175,-99.076889,5,2022
Milpa Alta,19.193316,-99.051016,9,2022
Tlalpan,19.259265,-99.188379,12,2022
Milpa Alta,19.176486,-99.030383,9,2022
Milpa Alta,19.1739,-98.996881,9,2022
Tlalpan,19.213441,-99.198597,12,2022
Gustavo A. Madero,19.57486,-99.135555,5,2022
Milpa Alta,19.175824,-99.002693,9,2022
Tlalpan,19.246994,-99.143051,12,2022
Tlalpan,19.218447,-99.20556,12,2022
Milpa Alta,19.204548,-99.016337,9,2022
Milpa Alta,19.174147,-98.999542,9,2022
Milpa Alta,19.195019,-99.048622,9,2022
Iztapalapa,19.344091,-98.997852,7,2022
Milpa Alta,19.192869,-99.003895,9,2022
Milpa Alta,19.188595,-99.089629,9,2022
Milpa Alta,19.173529,-99.000321,9,2022
Milpa Alta,19.189281,-99.004896,9,2022
Iztapalapa,19.377208,-99.066235,7,2022
Milpa Alta,19.173926,-99.000363,9,2022
Milpa Alta,19.16709,-98.994558,9,2022
Tlalpan,19.221352,-99.205023,12,2022
Milpa Alta,19.202556,-99.046325,9,2022
Milpa Alta,19.174131,-98.997194,9,2022
Tlalpan,19.214197,-99.203692,12,2022
